"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21716","Order Checkout","Desktop-Microsoft_Edge","Sat Mar 01 14:21:27 BDT 2025","passed","Sat Mar 01 14:21:49 BDT 2025","Compatibility_MObile  @CompatibilityMobile","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Mobile.spec.js","",""
"","18009","Login with rink332242@gmail.com valid data @positive @smoke","Desktop-Microsoft_Edge","Sat Mar 01 15:50:22 BDT 2025","passed","Sat Mar 01 15:50:40 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","6840","Verify HomePage Images","Desktop-Microsoft_Edge","Fri Feb 28 20:31:20 BDT 2025","passed","Fri Feb 28 20:31:26 BDT 2025","HomePageTest@smoke@regression","ClaypotstoreTest\FunctionalTest\HomePage.spec.js","",""
"","22921","Login with 12SAAAMM*Mcin@yahoo.com valid data @positive @smoke","Desktop-Microsoft_Edge","Sat Mar 01 15:50:40 BDT 2025","passed","Sat Mar 01 15:51:03 BDT 2025","LoginFunctionalityTest@regression","ClaypotstoreTest\Login.spec.js","",""
"","13827","Search Product and visit Product Display Page","Desktop-Microsoft_Edge","Sat Mar 01 14:21:01 BDT 2025","passed","Sat Mar 01 14:21:15 BDT 2025","Compatibility_MObile  @CompatibilityMobile","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Mobile.spec.js","",""
"","10747","Login with Mr.Val Hel-Sin D'souza @negative","Desktop-Microsoft_Edge","Fri Feb 28 20:27:05 BDT 2025","passed","Fri Feb 28 20:27:15 BDT 2025","LoginFunctionalityTest@smoke@regression","ClaypotstoreTest\FunctionalTest\Login.spec.js","",""
"","2159","Validate Checkout Page URL,Title and Heading","Desktop-Microsoft_Edge","Sat Mar 01 14:01:28 BDT 2025","passed","Sat Mar 01 14:01:30 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","6627","Verify HomePage URL and Title","Desktop-Microsoft_Edge","Fri Feb 28 20:31:12 BDT 2025","passed","Fri Feb 28 20:31:19 BDT 2025","HomePageTest@smoke@regression","ClaypotstoreTest\FunctionalTest\HomePage.spec.js","",""
"","14207","Search Product and visit Product Display Page","Desktop-Microsoft_Edge","Sat Mar 01 14:28:34 BDT 2025","passed","Sat Mar 01 14:28:48 BDT 2025","Compatibility_Tablet Test @CompatibilityTablet","ClaypotstoreTest\Compatibility Test\Compatibility_Test_Tablet.spec.js","",""
"","2467","View Every Customers","webkit","Sat Mar 01 17:47:43 BDT 2025","passed","Sat Mar 01 17:47:45 BDT 2025","","Woocommerce Rest API\Customer_API_Test.spec.js","",""
"","10410","Validate Order Checkout Form","Desktop-Microsoft_Edge","Sat Mar 01 14:04:01 BDT 2025","passed","Sat Mar 01 14:04:12 BDT 2025","checkoutpage@smoke@regression","ClaypotstoreTest\Checkout.spec.js","",""
"","61478","Validate Order Coupon","Desktop-Microsoft_Edge","Sat Mar 01 17:44:34 BDT 2025","passed","Sat Mar 01 17:45:35 BDT 2025","checkoutpage@regression","ClaypotstoreTest\Checkout.spec.js","",""
